Gene,Mouse1_Zadj,Mouse2_Zadj,Mouse3_Zadj,Mouse4_Zadj,Mouse5_Zadj
CNAG_00002,0.245929925,0.684916052,0.296404459,-0.323234383,0.794147068
CNAG_00003,0.426941277,0.375389444,-0.07499488,0.120595247,0.302672203
CNAG_00004,0.467526413,-0.458854492,0.718795482,0.152386587,1.055038031
CNAG_00006,-6.294759616,-5.607449753,-2.424415214,-3.159815766,-2.231797465
CNAG_00020,0.420719242,1.408855426,-0.252864267,0.175470889,-0.295815933
CNAG_00027,0.255033397,0.658924471,-0.501877723,0.055142441,-1.513305683
CNAG_00030,-0.58552265,-0.090060537,0.382790175,0.540591712,0.16087876
CNAG_00032,0.157935211,0.108254824,-0.091235694,0.863994472,1.342750586
CNAG_00033,-1.015324678,0.310642627,0.453682746,0.225869938,1.118513887
CNAG_00035,-0.212081588,1.249193769,0.706899886,0.699815477,0.651818964
CNAG_00036,1.09206563,0.775947895,0.765372229,0.907299653,0.58289444
CNAG_00043,0.35736956,0.340650337,0.405666039,0.535138701,0.156304535
CNAG_00045,-1.922243247,-1.120701681,-0.421565239,-0.309808683,-0.335371111
CNAG_00047,0.202991299,-0.096110295,0.381115173,-1.237646645,0.716861424
CNAG_00050,1.031568844,0.505462121,1.380319216,0.589109622,0.161643636
CNAG_00053,0.53983699,0.416951483,1.026398939,0.182839466,0.258252243
CNAG_00056,0.285908456,-1.231906713,0.526589642,0.007972451,0.239892899
CNAG_00060,0.97424986,-0.13407867,-0.318598909,1.047812646,0.760799577
CNAG_00069,-0.542856598,0.233565803,-0.577546211,0.759867021,1.296303384
CNAG_00072,-0.57599385,0.143797494,0.323256823,-0.310126213,-0.770353294
CNAG_00080,-0.24928033,0.508426358,-0.332386819,-0.748782526,0.787825443
CNAG_00088,-2.491692979,-3.89448078,-1.472557186,-2.479715454,-0.578750942
CNAG_00090,0.768286214,0.09530279,0.436553543,0.592630167,0.928397081
CNAG_00093,0.750495136,0.631754404,0.837714847,-0.314033432,0.76213846
CNAG_00094,-1.368378374,-0.205803001,0.004130958,-0.307041822,1.164786841
CNAG_00105,0.37006655,0.029800184,0.568179042,0.631138868,-1.007595321
CNAG_00118,-2.174627003,-1.843945086,-0.587362431,-1.322975668,-0.391464864
CNAG_00119,0.635434022,-0.25924247,1.467480088,-1.331849657,0.530095127
CNAG_00121,0.140472992,0.413428716,-0.773594671,-0.018648309,0.113856849
CNAG_00125,0.420057645,0.426909255,0.838652241,1.28535163,0.307068275
CNAG_00127,0.78418406,-0.010248862,-1.123733979,0.277795894,0.480307123
CNAG_00128,-0.234143834,1.220402072,-0.672919137,0.808048612,1.422141955
CNAG_00131,0.619482833,-0.121343235,-0.626589942,0.076427786,0.746917755
CNAG_00144,-0.31929959,0.449347509,0.008560479,0.005112016,0.573149713
CNAG_00146,0.814448329,1.125052408,0.79088362,0.595717405,0.388497987
CNAG_00155,0.192970456,0.853772905,-0.16738325,0.507877533,-0.146712821
CNAG_00158,-0.583367886,0.561426597,-0.553252734,1.427512221,1.028806207
CNAG_00159,1.144044213,-0.168968978,-0.728197382,0.305612675,-0.553973622
CNAG_00160,0.58517907,0.363160149,1.122523295,-0.151906,0.68965636
CNAG_00167,-0.204117557,0.515943783,0.018989455,0.163195132,0.076753398
CNAG_00171,-0.535650142,-1.60178439,0.517334266,-2.796884944,-1.508936072
CNAG_00172,-1.445803733,0.334588041,0.283445924,0.967819383,0.106907865
CNAG_00173,-0.957797234,0.513771977,-0.655322165,-0.165029087,-0.02844329
CNAG_00180,0.468893444,-0.270351924,-0.53733585,0.498119355,-0.160491748
CNAG_00182,-6.967960438,-3.811517022,-5.093123553,-5.382015804,-1.645108979
CNAG_00185,0.070650621,0.312296476,0.349883657,-0.039951264,0.115586443
