Gene,Mouse1_Zadj,Mouse3_Zadj,Mouse4_Zadj,Mouse5_Zadj
CNAG_01858,-0.803014892,-0.330465941,-0.570060586,-0.690043196
CNAG_01859,-7.144550812,-6.687221091,-7.142732889,-5.247093989
CNAG_01874,0.093337746,-0.402565539,0.503793953,0.196871217
CNAG_01901,0.601512466,1.138749136,-0.485016015,-0.07977691
CNAG_01916,-0.221861471,-0.5067014,-0.64837973,-1.507407697
CNAG_01940,-0.851009376,1.058717671,0.216833007,-0.340213445
CNAG_01964,-0.102710757,-0.550139097,0.09747672,-0.211223266
CNAG_01965,0.848260453,1.149205375,-0.852800677,-1.00006264
CNAG_01973,-4.802841228,-6.410704339,-8.065074652,-5.964567202
CNAG_01986,-0.020059811,-0.394505795,-0.320819118,0.468494225
CNAG_01989,0.460199908,-1.031462945,-0.277490728,0.495186869
CNAG_02004,0.994707309,2.417320789,1.43308194,0.986317736
CNAG_02005,-0.883223864,0.204057027,0.177162743,-1.554538729
CNAG_02045,-0.865816169,0.163280608,-0.969971828,0.006845288
CNAG_02053,1.10917657,-1.333725201,1.033391022,0.281364791
CNAG_02055,0.881896307,1.101616099,0.24034367,0.92614165
CNAG_02078,-1.299100967,-2.840358872,-1.292752715,0.893814806
CNAG_02085,-0.947403618,1.003252307,0.309810728,0.516597815
CNAG_02086,-3.824308535,-3.686918515,-3.43031769,-3.534514486
CNAG_02087,0.613333402,0.610492326,-0.835331007,-0.048005012
CNAG_02129,0.319505253,-0.09842102,0.255460922,-0.0021843
CNAG_02139,0.747193875,-0.167203279,-0.632785814,-0.163534127
CNAG_02151,0.605171181,-0.549934751,0.402501964,0.560265588
CNAG_02165,-0.525879327,-1.634412577,-1.454271334,-1.43508628
CNAG_02172,-7.777969841,-7.20071804,-4.485082111,-5.122541698
CNAG_02189,1.478891046,-0.006698684,-0.830108308,2.817381088
CNAG_02197,-4.859626982,-4.139435888,-2.858352191,-3.894134478
CNAG_02206,1.142873593,-0.668757324,-0.278778581,-0.913596532
CNAG_02215,0.830460768,-1.355711713,0.704754352,-1.020815879
CNAG_02219,0.349341886,0.621005523,0.329510206,-0.75019453
CNAG_02230,0.030680974,0.389824127,-0.887964326,0.669477533
CNAG_02317,0.070991774,0.565178945,-0.120768397,0.228443146
CNAG_02332,0.605012515,-0.712366273,1.189699325,0.248117659
CNAG_02350,-7.767636174,-6.293595923,-6.738127049,-6.435860601
CNAG_02358,-4.244880697,3.942853752,-1.959119628,3.715377394
CNAG_02374,-0.642461666,0.185787958,0.064002447,0.712284729
CNAG_02377,-0.728202468,0.57543707,0.565012443,-0.42202857
CNAG_02387,-1.29015284,-2.03355332,1.060259882,0.164583002
CNAG_02430,0.767141385,0.492890249,0.917483352,0.016157866
CNAG_02502,0.427470059,-0.059072505,0.591725213,-1.262982351
CNAG_02527,-0.385500868,-0.677738369,-0.158260512,0.628211337
CNAG_02555,-1.131696945,0.025461315,0.358504916,0.777053851
CNAG_02578,0.381302228,-1.302787016,-0.182642396,0.4408663
CNAG_02579,2.689618771,1.845350088,2.120914392,0.79541639
CNAG_02595,0.779898277,-1.049316442,0.11170083,-0.66625814
CNAG_02600,-0.567700557,0.08081994,0.657434186,0.062812783
CNAG_02863,0.213187337,0.267389567,0.429090387,0.351132745
CNAG_02900,-1.660898017,-0.474167718,0.420654409,0.751713728
CNAG_02942,-0.317382874,1.228486981,0.013248169,-0.124834342
CNAG_03002,0.156119586,-0.224578068,0.912643512,0.399726961
CNAG_03172,-0.679728091,-0.423453641,-0.658248118,-1.088914176
CNAG_03177,0.73414561,1.189511682,1.199311181,1.557434701
CNAG_03183,0.936964333,-1.223475861,1.335291266,0.271628088
CNAG_03190,-3.325386556,-4.305216478,-4.608760372,-2.506049694
CNAG_03194,0.947360608,0.687724071,0.45179288,0.292721027
CNAG_03217,2.976256376,1.478293034,1.266377133,1.351081857
CNAG_03250,0.654434671,-0.321232939,0.060357321,0.737290743
CNAG_03279,0.146569388,1.51875591,-1.622654525,-1.178081064
CNAG_03304,-0.062229389,-0.233717268,0.012594416,-0.07123924
CNAG_03333,0.535046036,-0.443343982,0.497539247,-0.875971694
CNAG_03366,0.458976021,1.156024901,0.711330861,1.067738308
CNAG_03397,-0.186969936,0.142248648,0.98165808,0.88976622
CNAG_03400,-0.062880793,0.110519658,-0.04644336,0.273430418
CNAG_03437,-1.348637246,0.780351409,-0.799656093,-0.480135177
CNAG_03447,-2.043638915,1.497976601,-0.238614474,1.073741262
CNAG_03461,-1.674494337,-1.848627019,0.18633706,-0.200248684
CNAG_03503,0.244928361,0.13094601,0.531570126,1.043335728
CNAG_03555,0.007692819,-0.706682437,0.722102894,0.34234667
CNAG_03673,-0.108190406,-2.357809423,-3.553419539,-3.702273507
CNAG_03677,-0.270385354,-0.110857132,1.217452205,0.484077587
CNAG_03713,-0.206482868,1.094305023,0.599208536,0.033894053
CNAG_03733,1.30121909,-0.16730594,-0.396571622,0.719443791
CNAG_03768,0.135974003,1.193678843,-1.930950365,-0.533553219
CNAG_03844,0.371710634,-0.892289746,0.382039688,-1.077665643
CNAG_03849,0.671153234,0.174190831,-1.002104058,0.92927755
CNAG_03854,-6.238033055,-5.59592117,-5.665910131,-6.620947497
CNAG_03866,0.489725175,0.160056058,-0.88752022,0.593271445
CNAG_03952,-0.248046715,-0.65053817,-0.863131345,-1.113687022
CNAG_04021,-1.837722059,1.283955344,0.558181208,1.49331235
CNAG_04025,-0.356077156,1.198968238,-0.915146655,-0.258270996
CNAG_04086,0.60759923,-0.030855654,0.971265008,-0.37157965
CNAG_04090,2.122870963,1.941173984,2.236988947,2.832084754
CNAG_04093,-2.280545135,-1.265579463,-0.492290957,-0.168927617
CNAG_04141,1.192847202,0.335186415,-0.007045743,0.508590541
CNAG_04142,0.314394391,-0.125527159,0.694033829,-0.722446983
CNAG_04158,-4.686193543,-5.393806894,-5.174629086,-7.016841789
CNAG_04213,-0.650721096,-0.242556774,-0.482248815,0.308172899
CNAG_04228,-0.133280983,0.811701087,0.933714902,0.737696021
CNAG_04281,-6.341087541,-5.860596404,-6.245023813,-4.803507537
CNAG_04307,3.263706568,1.255458549,2.153057766,2.23224007
CNAG_04348,0.51181871,-0.307129201,0.687153083,1.255100416
CNAG_04399,-3.026826759,0.417656308,0.01543109,-1.263047164
CNAG_04517,0.020671008,0.773432106,0.380725266,0.82950594
CNAG_04612,-6.526780139,-4.853809892,-5.213979878,-4.985817795
CNAG_04677,-3.019919744,-2.8722403,-3.1950197,-2.134909592
CNAG_04724,0.749794917,-0.40354218,0.541337165,-0.420113399
CNAG_04755,-7.192208312,-5.826730382,-6.042757451,-6.503315854
CNAG_04768,-1.370212789,-0.457827245,-0.366681476,0.03054162
CNAG_04793,0.94881227,1.125130297,0.457370775,-0.491701122
CNAG_04836,-0.480389763,-0.46878632,1.085270981,-0.113124299
CNAG_04837,-1.662576822,-1.521832466,-2.141084923,-1.606807231
CNAG_04858,0.914044138,0.035727418,0.373698079,0.043478507
CNAG_04859,-0.203201499,-1.258641201,0.757976959,1.183536179
CNAG_04862,1.130440242,-0.399760666,0.515727539,0.40725486
CNAG_04875,-3.170741179,-4.613613301,-7.521317793,-3.257086856
CNAG_04886,-0.091316119,1.481185761,0.944525155,0.037806368
CNAG_04962,0.523468868,0.892574221,0.369982171,-1.144413233
CNAG_04989,-1.052601284,-0.538310125,0.47667061,-0.239586956
CNAG_05077,0.435099934,0.1845366,0.363340179,0.571080307
CNAG_05082,1.013166712,0.128639549,1.037098883,0.84582535
CNAG_05139,-4.376571897,-4.028372624,-4.317519968,-4.337358727
CNAG_05153,0.528916451,0.522775276,1.569021477,-1.373153146
CNAG_05178,0.493220814,0.668401413,-0.322017334,0.632313731
CNAG_05222,-5.447072487,-3.846810513,-4.154614096,-3.925776721
CNAG_05250,0.162622729,-1.218326743,-1.46952472,-0.804274156
CNAG_05279,-0.537018322,1.057164119,0.440231799,0.341095642
CNAG_05303,0.847378944,1.827882073,0.026651816,1.146425058
CNAG_05309,0.808758236,-0.738722523,0.447243308,0.652634947
CNAG_05310,0.937496147,0.559020727,0.179928803,-0.184068675
CNAG_05313,-2.921111729,-4.162292944,-6.176098395,-5.552328131
CNAG_05333,0.294422367,-0.145364673,0.544634241,0.01470116
CNAG_05334,-0.060146443,0.37644096,0.527657914,1.033024215
CNAG_05344,0.117868015,-0.51425818,-0.372362259,0.694710374
CNAG_05392,-5.965718815,-5.624543093,-6.718313966,-6.972222574
CNAG_05458,0.580357202,0.894205119,0.130232171,0.204562804
CNAG_05459,0.293296846,1.082926189,0.931200754,-0.002705465
CNAG_05469,-0.910376004,-0.804119505,-3.6352625,-2.354461183
CNAG_05515,-0.626974809,0.587583778,0.008456166,-1.043710999
CNAG_05522,0.338322883,0.05327718,-0.61771259,0.907484096
CNAG_05614,1.026094385,-0.261559421,0.294032242,0.810018909
CNAG_05622,-2.702827842,-3.988167077,-3.208667113,-3.012649067
CNAG_05652,0.183242305,-0.359229865,-0.185944674,0.826914813
CNAG_05658,-0.625505502,-0.848783432,-0.353055789,-0.273093469
CNAG_05690,-4.079216966,-2.461074377,-3.510254646,-4.888795746
CNAG_05692,-0.628572575,-0.476116383,-0.78131334,-0.001541494
CNAG_05699,1.214076845,0.112785359,-0.523233653,0.47286932
CNAG_05700,0.615816005,0.669633009,-0.843712096,-0.166490902
CNAG_05930,0.898919511,0.355026849,0.044713447,0.391651768
CNAG_06029,-0.089662449,-2.041422029,1.047050847,-0.532201928
CNAG_06034,-7.903466783,-4.737978773,-3.013953074,-4.384806453
CNAG_06060,0.979165197,-0.06783283,0.834461461,1.215784359
CNAG_06068,-3.646380175,-1.91892269,-1.459418626,-3.481347868
CNAG_06136,0.881558731,0.296408624,1.084367281,0.27241083
CNAG_06161,0.950469447,-0.160077651,-0.47502857,0.742600261
CNAG_06221,-1.819061043,-2.491976208,-2.293223319,-0.5684771
CNAG_06233,0.066822283,0.974523379,0.7705967,0.020702521
CNAG_06241,-1.636414216,-0.580681119,-0.23881783,-1.242145709
CNAG_06249,0.304228687,-0.467446162,1.520529736,0.537887688
CNAG_06260,0.278002133,0.426821465,0.660873315,-0.795802227
CNAG_06276,-0.75472386,1.445423473,1.151988744,-1.184683485
CNAG_06285,0.266470764,0.379738613,1.026947009,-0.488822561
CNAG_06286,0.323953328,0.953541751,0.698959767,1.166024915
CNAG_06396,1.031457873,0.819759265,0.231595615,-0.058575109
CNAG_06437,-1.716052634,0.472059981,0.90441365,-0.584658329
CNAG_06517,-6.8850387,-6.109834859,-6.015588866,-6.056709854
CNAG_06521,0.432305611,1.231800285,0.614653713,0.087485285
CNAG_06546,0.120491656,-0.232234592,0.119421907,-0.595319299
CNAG_06559,0.755006668,1.555089826,2.980196764,2.74813664
CNAG_06589,0.008667871,-0.31108222,-1.20446491,-0.969734549
CNAG_06644,-5.59104748,-6.391289465,-6.429451381,-8.681247613
CNAG_06645,0.251980482,-0.096404909,-0.695047588,-0.480729967
CNAG_06666,0.192387146,0.053490802,0.57431182,0.167560842
CNAG_06689,0.287151461,0.366701733,1.081704636,-0.831475246
CNAG_06693,0.632016093,-0.076077892,0.152124422,0.698945173
CNAG_06722,0.439399194,-0.349359386,0.17368248,0.194224439
CNAG_06727,0.876989115,-0.447894281,0.059644386,-0.843285624
CNAG_06812,-4.642252762,-3.180462215,-1.658971827,-2.392624883
CNAG_06889,1.045053374,0.812440145,0.263513946,0.797367193
CNAG_06916,1.687978808,1.115811482,1.034618452,-0.387049083
CNAG_06929,0.697179391,0.390742842,0.006183455,0.973197446
CNAG_06977,0.115760413,0.323021352,-2.121903098,-2.017755713
CNAG_07108,-5.827299688,-2.731569244,-4.130382918,-5.576298823
CNAG_07318,-8.617838104,-6.804054545,-7.265641965,-8.501371438
CNAG_07341,0.375143024,-0.383478065,-1.479918402,-0.398880083
CNAG_07348,-5.683149997,-2.67421403,-6.211587424,-8.771672508
CNAG_07364,-0.765126672,0.724550013,-0.850695517,0.514196229
CNAG_07375,0.847663844,0.933907458,0.069682456,0.786448945
CNAG_07386,0.200853024,-0.042356103,0.812778464,-1.025211073
CNAG_07396,0.749784616,-0.177258501,0.643151118,-0.398457465
CNAG_07399,0.176073824,0.655035216,0.332893734,0.550502155
CNAG_07405,-0.029432232,0.354716952,0.723546468,0.694039138
CNAG_07414,-7.104238139,-5.926659127,-7.861457766,-5.636367929
CNAG_07417,-0.293500178,0.17248291,-1.552169091,0.049448012
CNAG_07420,0.682342052,1.174079968,0.574491649,0.001200618
CNAG_07423,0.661027008,0.160047196,0.050611192,-0.640029262
CNAG_07425,-0.126489342,0.886577871,0.505740103,1.108387215
CNAG_07431,0.48286709,0.26486981,0.697303595,0.45832533
CNAG_07432,0.196738224,-0.282246974,0.810037327,-0.765894409
CNAG_07446,-0.308641103,-0.220245105,-0.18564414,0.470908449
CNAG_07449,0.889727283,0.105200544,-0.523445063,0.422407163
CNAG_07450,0.622981282,1.029381668,0.843748049,-0.067916643
CNAG_07453,-2.718029636,-3.158578441,-4.266718298,-3.668134133
CNAG_07455,0.424338058,0.87211761,0.953349719,1.615777808
CNAG_07459,-0.379869022,-0.80060373,-0.680319617,0.546864258
CNAG_07471,0.65199761,-1.222303094,0.179823166,0.05448523
CNAG_07472,-0.975652414,0.299269959,0.95157557,-0.021631893
CNAG_07475,-2.994819814,-1.725470664,-2.193200549,-3.8033749
CNAG_07477,0.198679175,0.42088596,-2.269617537,-0.116975508
CNAG_07478,-0.221430261,-0.885721844,-1.067118677,-2.954893412
CNAG_07480,-1.435020681,0.154646509,0.068932289,-0.039078353
CNAG_07482,-6.249802663,-1.950590904,-4.240968165,-2.956953847
CNAG_07488,-0.988583019,0.420589074,0.940509022,-0.831747281
CNAG_07491,0.453992222,-0.251507236,0.60869456,-0.448966285
CNAG_07498,0.56681673,0.070364003,0.577018452,-0.689494426
CNAG_07499,0.229890019,-0.54546466,-1.426888304,1.485922195
CNAG_07507,-0.146001561,0.597582878,-0.216042117,-0.122266439
CNAG_07509,-1.53652635,-0.347496433,0.179230022,0.057253008
CNAG_07515,-0.187942346,1.039694073,-0.149699722,-0.148427158
CNAG_07520,-0.451316989,-0.621188465,-0.336255275,0.379770951
CNAG_07522,-0.772296198,1.2091152,-0.082952407,0.099955501
CNAG_07526,1.119086076,-0.224255254,0.666389541,-0.8232136
CNAG_07527,-0.505964012,1.085807605,0.562063262,-0.767037689
CNAG_07540,-6.11411842,-5.378964238,-6.449325717,-6.113075929
CNAG_07542,0.048225933,0.134519067,0.423516746,-1.366043653
CNAG_07544,0.436258065,-0.061272768,-0.399370836,0.404226363
CNAG_07545,-0.694427849,-0.787736604,-1.329236649,0.255451603
CNAG_07550,0.681152896,-1.255302295,0.614741917,0.77387808
CNAG_07553,-2.642843496,-1.164605984,0.567244718,-0.628612406
CNAG_07555,1.674462466,2.496681901,1.470870233,1.740111359
CNAG_07557,0.924558628,0.502126102,0.738170356,0.473425585
CNAG_07558,-1.624172863,-1.752935584,-1.606064406,-2.004803218
CNAG_07559,-0.157836872,0.74997607,-0.031539493,0.854340764
CNAG_07562,-3.576260784,-2.211670261,-1.036740014,-1.907907429
CNAG_07564,-0.109928564,-0.103835205,-0.061280611,0.217390785
CNAG_07573,0.54622449,-0.745225476,0.017523534,0.5839748
CNAG_07576,0.349954296,-0.177654368,1.013153602,-0.624553071
CNAG_07578,-0.162530374,-0.037732437,0.491816776,0.418084333
CNAG_07580,1.569312121,0.761339862,0.8825131,0.337957509
CNAG_07588,0.127229378,0.163089292,0.475876236,-1.028017154
CNAG_07592,-3.780266222,-4.311590568,-8.65202739,-3.935959095
CNAG_07593,0.407460245,-1.998325787,0.087202531,-0.127940789
CNAG_07596,0.720328373,-0.16158062,0.047306047,0.997149129
CNAG_07600,-0.351050179,0.501901063,1.130942422,-0.678786781
CNAG_07604,0.701874002,-0.274888728,-1.302702681,0.748126804
CNAG_07607,-0.295808157,1.364370514,0.684481945,0.00685976
CNAG_07611,0.406885496,-0.593838035,0.650448468,-2.437193952
CNAG_07618,-1.115253853,1.261663143,1.533130609,-0.967843627
CNAG_07619,-1.011216625,0.602443799,0.834435757,1.290810173
CNAG_07624,-3.560078681,-1.76404957,-0.315409313,-1.652779719
CNAG_07629,0.78083164,-0.195865051,1.093357564,0.716362753
CNAG_07643,-0.600784922,-1.667751273,0.672978142,-0.070470932
CNAG_07645,-0.153131035,-0.323220256,-2.07404508,-2.620471466
CNAG_07646,0.815484632,0.75375713,0.616813836,0.422947345
CNAG_07648,0.910279869,0.916112972,0.604289455,-0.102953313
CNAG_07650,0.864770991,-0.26208704,-0.449698736,-2.47670857
CNAG_07658,0.382416838,-0.870046417,1.212688982,1.224875353
CNAG_07671,1.469614664,0.657876921,1.059391751,0.675318455
CNAG_07679,-2.891361405,-3.974341277,-3.925293628,-4.306220646
CNAG_07680,0.959382486,0.280520236,-0.798645717,0.466707697
CNAG_07682,-0.406022508,-0.680183853,-0.300629306,1.216400903
CNAG_07683,0.124417753,-0.819061105,0.416428291,0.077946485
CNAG_07687,-1.201803718,0.167234047,0.666692955,-1.276984398
CNAG_07691,0.899356881,0.435942347,0.747774124,2.176548617
