Gene,Mouse2_Zadj,Mouse3_Zadj,Mouse4_Zadj,Mouse5_Zadj
CNAG_00768,0.125357697,0.887397809,0.120088736,1.385203952
CNAG_00795,0.338934729,0.0198702,0.743091438,0.776935091
CNAG_00801,-0.510231704,-0.571489989,0.325854269,-0.004042001
CNAG_00810,-0.496525867,-1.193262844,-0.62448578,-1.21059306
CNAG_00835,-0.57243482,0.862251509,0.396655154,0.099608107
CNAG_00837,-1.415714784,0.278181558,-1.713363981,-3.884517892
CNAG_00843,0.314772821,-0.010243835,0.569936585,1.290926312
CNAG_00848,0.364558344,0.016839179,1.315596097,0.402135398
CNAG_00850,1.319192802,-0.189935367,0.790975796,0.883378499
CNAG_00872,0.166530813,0.322398743,-0.030628482,0.567407336
CNAG_00875,-1.99464523,-1.700709298,-1.638405087,-1.805197811
CNAG_04245,0.362055892,0.36320902,0.362180644,-0.059287005
CNAG_04246,0.363409714,0.247627115,1.124478435,1.279285896
CNAG_04248,0.269893091,-0.09136809,-0.515487329,-0.046470168
CNAG_04253,-3.094713458,-1.800208572,-4.072050603,0.405664194
CNAG_04268,-7.24578174,-2.818696734,-2.882556333,-6.335965526
CNAG_04277,0.287421893,0.664790247,0.631121505,0.61240979
CNAG_04305,4.422683747,2.355781549,4.488464124,3.251010193
CNAG_04313,-0.392029065,-0.569200369,-0.862128782,0.831709282
CNAG_04314,-0.086483355,1.172041798,0.059399914,-0.135052051
CNAG_04316,-3.808232839,-0.754674071,-6.731622517,-7.76200275
CNAG_04357,0.681038786,0.688952077,0.842382733,0.106318585
CNAG_04383,-0.907178969,0.728396438,-0.084705565,0.21602503
CNAG_05016,0.031808782,0.345947383,-0.68142301,-0.674305022
CNAG_05018,0.156273249,0.488379828,0.068865761,0.080461454
CNAG_05019,-0.515612654,-0.18706883,-0.911050919,-0.317530926
CNAG_05020,1.617540858,0.662390398,0.139664612,0.444319572
CNAG_05021,0.360584415,-0.292280757,-0.611837443,0.697789583
CNAG_05022,1.194400943,0.434920653,0.961608394,0.908893086
CNAG_05023,0.012295601,0.96004721,0.583721307,0.151221911
CNAG_05025,0.11491375,0.879707785,-0.300136117,-0.601475425
CNAG_05029,0.133919902,0.703485557,0.808015118,0.618416286
CNAG_05030,1.396889921,0.256050821,2.782363474,2.803044873
CNAG_05033,0.744043091,1.004495716,1.056813075,0.568706456
CNAG_05034,-0.173319218,0.202565121,0.782372618,0.311195149
CNAG_05037,0.158209994,0.802106808,-0.3335001,-0.630992799
CNAG_05040,1.1590789,1.317566986,0.366584596,-0.188552225
CNAG_05043,-4.75585427,-4.064499332,-4.85520164,-4.936553118
CNAG_05045,0.38629119,0.79555155,0.775651433,1.420299668
CNAG_05056,-0.622675633,-0.037972299,0.152202582,0.378005796
CNAG_05065,-0.666559502,0.165757954,0.561421031,0.695490362
CNAG_05071,0.112531894,0.59603681,0.679322539,0.15697322
CNAG_05072,0.39611965,1.241234921,0.050720184,1.176538156
CNAG_05084,-0.121619795,-1.091847777,-0.996071539,1.202254617
CNAG_05090,-0.256934977,1.028558468,1.231002272,0.981829388
CNAG_05092,0.270468327,0.742383236,-0.816753735,0.848181592
CNAG_05095,-0.176765082,-0.628197045,0.752318296,-0.482347598
CNAG_05096,0.72935034,0.525976155,1.116615031,0.856598782
CNAG_05097,-0.353793375,-1.318698672,-2.196680711,-4.473048901
CNAG_05102,-1.457071983,-0.144707471,-0.114971972,-1.706889152
CNAG_05104,-0.013772252,0.517632817,0.792861147,-0.771393839
CNAG_05106,-0.268420283,-0.344852588,-1.053855464,-1.462609592
CNAG_05109,-0.033871334,-1.531776857,0.410174236,-1.225157814
CNAG_05116,1.155610278,0.500162386,0.09885113,-0.221804587
CNAG_05117,0.886937732,0.020721351,0.113754659,0.513824095
CNAG_05120,0.396760795,0.386757388,1.370850758,-0.060697998
CNAG_05122,-8.269606127,-5.524199277,-7.916054087,-10.5044203
CNAG_05123,2.753883493,0.77024598,1.427216627,-0.566252754
CNAG_05129,0.680155634,-0.571415123,-0.630330516,0.624113993
CNAG_05131,-0.95511634,-2.167075481,-0.471280909,-2.408947556
CNAG_05135,-3.615901809,-0.501956548,-1.760133014,-3.937652696
CNAG_05141,-0.433648102,-0.551998496,-0.86349927,0.450092062
CNAG_05146,1.85497637,1.451364374,2.509269032,1.388859398
CNAG_05157,0.097872143,-0.106181391,-0.754058347,-0.53238889
CNAG_05158,-0.672152134,-0.06668384,0.34375479,-1.050211846
CNAG_05168,0.313800194,0.798059624,-0.12558262,0.326142976
CNAG_05367,0.639679556,0.625586309,-0.862438209,1.039843294
CNAG_05373,-0.993157781,1.329787204,-2.480831941,-2.587804829
CNAG_05374,1.426532315,0.126495925,-0.449802275,-0.956448508
CNAG_05379,0.313188252,0.769138805,0.193816556,0.020210741
CNAG_05383,0.836755635,-0.343309881,1.00312027,0.224370899
CNAG_05388,0.032974145,0.343622007,1.126918145,-0.050253256
CNAG_05389,-0.286060537,-1.25635015,-0.407212112,0.46406426
CNAG_05390,-0.144821019,0.666421932,0.569582126,-0.509125304
CNAG_05395,-6.129035734,-5.053375407,-5.407665201,-6.074283537
CNAG_05404,-4.678147417,-2.06905181,-4.163453837,-4.844278514
CNAG_05410,-0.473685637,-1.261697601,-1.072671545,0.044649432
CNAG_05413,0.267654985,0.057543841,0.41774899,0.065905682
CNAG_05419,-6.106670796,-5.186599763,-6.150265149,-7.358174308
CNAG_05421,-0.047990434,0.288326714,-0.208957858,-1.285867154
CNAG_05427,0.093267183,0.425009331,0.813773865,0.606876815
CNAG_05434,-0.638717801,0.207655014,0.217636091,-0.488817292
CNAG_05437,0.382643797,0.226067127,-0.08841415,-1.257058272
CNAG_05439,-1.426908041,-0.998611926,-1.297433985,-0.31269631
CNAG_05440,2.1054832,0.45990268,1.147719106,0.917288978
CNAG_05441,0.26123,0.728035958,1.087207146,0.823176753
CNAG_05447,-0.050576159,0.2568734,-0.665294117,-0.152101543
CNAG_05463,1.878363088,1.118725166,1.03046665,1.78805633
CNAG_05464,1.444748196,0.576726898,1.816066978,1.263058667
CNAG_05482,0.791469907,0.158265783,-0.281888882,0.415755914
CNAG_05484,-0.051666316,0.078123455,0.840549618,0.392673678
CNAG_05486,-1.060532846,-1.090557714,-0.040592456,0.582848318
CNAG_05499,0.22135119,-0.018840598,-1.767250841,-0.222154638
CNAG_05500,0.948766611,1.212982569,0.248863102,1.517250833
CNAG_05503,-7.99936747,-6.846286163,-7.072882711,-7.928160176
CNAG_05511,0.013466311,0.289621235,-0.122567689,-0.449033975
CNAG_05512,0.33842075,-1.623459507,-0.888659902,-3.001148695
