Gene,Mouse1_Zadj,Mouse2_Zadj,Mouse3_Zadj,Mouse4_Zadj,Mouse5_Zadj
CNAG_00023,0.158391436,0.426995749,0.219968653,0.175097051,0.259611688
CNAG_00024,-2.775013351,-1.766404885,-0.568129685,-1.464774476,-0.835502633
CNAG_00028,0.662190834,1.661957041,-0.40120796,0.688853467,-0.317643871
CNAG_00029,1.134995179,0.83196111,0.563960468,1.627934746,-0.909354841
CNAG_00038,0.230958999,-0.356223195,0.540808105,0.460725673,1.300604685
CNAG_00054,1.498812699,0.626179649,-0.017934616,-0.216959444,0.332824398
CNAG_00075,-1.05198615,1.450477505,-0.526984416,0.219322664,-0.409901906
CNAG_00076,-0.170414706,1.258426344,1.018252117,0.332409748,-0.292876283
CNAG_00097,0.344054501,0.310876884,-0.189754545,0.594260856,1.230019648
CNAG_00098,0.31420123,-0.438930756,-0.157015393,0.684418895,0.040555146
CNAG_00123,-0.247640252,-0.093672734,0.599989404,0.402827146,-0.715936021
CNAG_00124,-0.685851105,-0.770787216,-1.077009828,-0.943777484,0.707151037
CNAG_00133,-0.572272832,0.943460036,-0.575684788,0.424574284,1.201692627
CNAG_00161,0.410564962,-0.389352252,0.59411584,-0.035734936,-0.769464282
CNAG_00283,-0.422961334,0.319263098,-0.190267394,-0.799101589,-2.099158797
CNAG_00284,1.046596395,0.155888077,0.670653689,0.887516804,0.604440886
CNAG_00294,2.746280818,1.786533475,2.4680599,4.075433551,3.606169736
CNAG_00303,-0.059322702,-0.117477458,0.102135925,0.239193353,0.363935201
CNAG_00315,-0.025842216,-0.420346525,-0.397828938,0.412354529,-0.973107981
CNAG_00383,-6.329031159,-6.55389186,-2.935337386,-4.945127916,-6.438734555
CNAG_00413,-1.628011026,-0.064019189,-1.78836449,-1.437913963,-0.934450263
CNAG_00414,-0.18293528,0.266634253,-1.538507324,0.134529352,-0.265404913
CNAG_00433,-0.480875634,-0.480462844,1.077916998,-0.259245911,0.532871197
CNAG_00453,-0.304532904,0.838400161,-0.21255735,-0.529710572,1.031750176
CNAG_00532,0.19308567,-0.056216236,0.303030318,1.038733989,0.519572472
CNAG_00563,-1.506660953,-0.972990767,0.10141116,-0.060887503,-0.39819968
CNAG_00652,-0.163931434,0.191467433,1.686170674,0.989633729,0.646492534
CNAG_00653,1.915866883,1.79356957,2.552849282,1.765382061,1.070530437
CNAG_00662,0.32244714,1.915426528,1.659050098,1.424354296,-0.381636088
CNAG_00663,0.679057511,0.046506843,-0.300217301,1.03898731,0.398726136
CNAG_00679,1.232497095,0.500669982,0.538250532,0.398688759,0.527762517
CNAG_00682,-0.015950873,-0.549978414,-0.262913806,-0.248501071,0.09258701
CNAG_00688,0.586108297,1.191905549,0.80051998,0.243933926,-1.187323673
CNAG_00691,-1.542725968,-2.722179281,-1.357236581,-0.488063882,-1.124604921
CNAG_00692,-2.046094399,-1.880727311,-1.6983885,-0.118409138,-1.943932647
CNAG_00707,0.410499287,0.15020038,0.496812796,1.107353177,0.408228743
CNAG_00708,-1.320673414,1.476366785,1.086921266,2.100610116,3.359076195
CNAG_00735,-1.521935004,-3.321252101,-2.141663428,-2.462270293,-2.860698019
CNAG_00750,-0.012644771,0.00146355,-0.134037779,0.454789622,0.953897493
CNAG_00788,-2.059584271,-0.410572848,-0.258725171,2.449726924,0.80596727
CNAG_00792,-2.520004082,-1.567840197,-0.797124299,-2.565945351,-2.301638293
CNAG_00818,0.285799568,-0.522945521,0.323925101,-0.454067325,0.202822436
CNAG_00833,0.395575097,-0.998656392,-0.364243188,-0.406536572,0.413831657
CNAG_00834,0.823813761,0.616631958,0.420930229,-0.134627728,0.296623204
CNAG_00862,-1.174664249,1.32947979,1.229014713,0.286356335,0.102288277
CNAG_00907,-0.192256128,-1.545681916,0.949271679,0.569206677,1.157797554
CNAG_00929,0.094551682,-0.01721604,-1.223511806,-0.414335515,0.579286088
