Gene,Mouse1_Zadj,Mouse2_Zadj,Mouse3_Zadj,Mouse4_Zadj,Mouse5_Zadj
CNAG_01461,-0.243393022,-0.631194914,0.238400097,0.572685895,0.0927096
CNAG_01466,0.139173449,0.567402386,-0.93768999,-0.690371205,0.307356954
CNAG_01546,1.025300644,-0.856976563,-0.496548797,0.070565258,1.057988498
CNAG_01571,-0.840387326,0.117263881,1.27728406,0.633367302,-0.10989457
CNAG_01579,-2.851027709,-3.356747824,-3.292843612,-3.405654792,-2.604534097
CNAG_01596,-0.552866167,1.127776896,-0.924027086,0.490424659,1.026358794
CNAG_01616,-6.134212028,-6.128898247,-4.88031645,-6.638088562,-6.961171661
CNAG_01623,-1.857718626,-2.506727258,-2.351363779,-0.941725856,-4.731350085
CNAG_01632,-3.764324737,-5.256333748,-4.324672346,-5.294591967,-4.280158753
CNAG_01640,-0.676574554,0.225536787,-1.426897827,-0.607367727,-1.051408461
CNAG_01706,0.145734769,0.110237701,-0.772960743,0.381880402,0.451087824
CNAG_01716,0.503349374,1.85582807,-0.49733496,1.668329899,1.457534463
CNAG_01807,-0.059830739,-1.995410997,-0.185997338,-0.668616257,0.091766772
CNAG_01827,0.634671291,0.073519931,0.843784168,-0.862878446,0.3260282
CNAG_01885,0.546782097,-0.381891516,0.147334555,0.633061301,-0.383624107
CNAG_01980,-1.705759794,0.065777021,-0.153554395,-0.090062613,0.5659147
CNAG_02687,-2.192531746,0.772056488,-1.665400221,-2.107424187,-4.65152768
CNAG_02785,-1.671076812,-2.092112261,-1.597023754,-4.631509203,-0.126567939
CNAG_02793,-5.951251408,-6.629806994,-4.834726277,-8.849502246,-6.586912261
CNAG_02798,0.792118891,0.995752549,-0.321890874,0.461609944,-0.622569287
CNAG_02810,-0.096341895,-0.721934887,1.703162323,0.694612046,0.714619517
CNAG_02833,-6.322143249,-2.512435951,-1.908807124,-2.826301755,-4.712457385
CNAG_02868,-8.272835208,-9.875848734,-4.932198135,-9.009025895,-7.14041524
CNAG_02880,0.25141053,0.830959533,1.148680651,0.62445332,0.922132292
CNAG_02967,-0.034507874,-0.099366359,0.414530905,0.865932662,0.62606325
CNAG_03028,-5.319953577,-3.304764379,-1.0618895,-7.673533844,-6.650264341
CNAG_03038,-3.647907572,-7.14646519,-5.328682037,-8.066580818,-8.542535833
CNAG_03045,-0.953264056,-1.219366719,-0.780692043,-1.961111173,0.355261554
CNAG_03065,-7.240066202,-8.665644977,-5.969718983,-8.476762745,-6.404076232
CNAG_03091,0.369655141,0.112829432,-0.321164492,0.286154308,0.120191672
CNAG_03152,-0.873828026,-0.434489143,-0.101435877,-0.182633516,-0.629373301
CNAG_03159,1.007151576,-0.902786757,0.276895115,1.96332642,0.595802454
CNAG_03195,0.216724831,0.19639953,-0.167587004,-0.595644452,0.047882884
CNAG_03220,0.384880485,0.939144886,0.034639754,0.430334099,0.679973306
CNAG_03307,-0.571124857,0.939950439,-1.014875379,0.69064133,0.669757831
CNAG_03311,0.43578821,-0.207060457,-0.639491192,0.870879218,1.405503245
CNAG_03415,0.863379328,0.275554385,-0.316528059,-0.911385269,0.568750674
CNAG_03483,-4.179113588,-4.343478457,-1.905375215,-4.531671068,-3.761618514
CNAG_03509,0.474088105,-0.918345305,-0.47972286,-0.441349994,0.085300078
CNAG_03533,-0.462837237,0.813416385,1.196143072,-0.257219056,0.80721737
CNAG_03569,-0.546381035,-1.329941295,-0.454888531,-0.0388869,-0.472418872
CNAG_03595,-0.374710356,0.490405465,0.732770646,0.998153522,0.31833499
CNAG_03641,-3.068695178,-5.560605366,-3.730466361,-6.664352145,-3.940463831
CNAG_03678,0.036413615,-0.660856378,-0.467927001,-0.805232722,0.139495196
CNAG_03680,0.281852119,0.288518838,0.993454015,0.30235468,-0.659361575
CNAG_03681,-0.80262334,0.569790183,0.446755302,0.266648663,-1.865784222
CNAG_03695,0.805404935,0.948528545,0.395433482,0.04385327,0.514442094
CNAG_03697,0.430175253,0.142782025,0.219942204,0.223170955,-0.624894664
CNAG_03712,0.397309077,1.108732314,0.288409485,1.272976591,-0.500277293
CNAG_03789,0.930666367,0.587419476,-0.39984589,0.333704653,0.485794464
CNAG_03811,0.090704075,-4.188759999,-2.791603952,-3.054754772,-2.100788796
CNAG_03817,0.594340753,0.48209836,0.715730493,0.667454224,0.269713925
CNAG_03830,-0.17059834,-0.044172785,-0.183584401,0.145853242,0.362905843
CNAG_03839,-4.765807358,-5.766296398,-2.554154821,-6.907123329,-5.960537981
CNAG_03850,-4.512890569,-5.469927272,-3.665072297,-6.55732741,-3.844147589
CNAG_03885,3.150380865,2.891166337,3.565554995,2.942759393,4.582190843
CNAG_03893,-0.967862458,-2.059723125,-4.022256043,-2.549525672,-2.716119823
CNAG_03901,0.092374781,0.160652385,0.527715242,-0.620256449,0.21047039
CNAG_03906,0.203910798,0.399918299,0.466458214,-0.331431969,-1.147728342
CNAG_03932,-7.036534397,-2.253345289,-0.213184793,-3.9204604,-0.878157491
CNAG_03948,0.362735818,0.730289049,0.358766631,0.418961374,-0.219893664
CNAG_03949,0.306720794,1.002312264,-0.560465793,0.971575783,0.383398149
CNAG_03955,0.103250648,0.547418088,1.0044827,0.706960357,-0.8168309
CNAG_03968,-4.977673145,-6.014561761,-2.73319565,-5.3477658,-6.224239895
CNAG_03980,-0.185556762,0.227142422,0.570650322,0.182240434,0.310333859
CNAG_03987,-1.597014615,-1.579769227,-0.915969871,-2.167367188,-2.095430245
CNAG_03988,-2.337225454,-3.813629153,0.266001666,-2.497129147,-2.29061207
CNAG_03994,0.615304887,0.40943133,1.035639436,0.31295455,1.654480844
CNAG_04003,-0.619755398,0.864321382,0.290832374,-0.770492716,0.150531669
CNAG_04005,-5.519127349,-4.062287958,1.781668327,-7.949000621,-6.898168949
CNAG_04009,-0.384116216,-0.07334728,-1.346382695,-0.458283254,-0.331973904
CNAG_04034,0.460892059,-0.704093334,1.353891006,0.007162469,-0.450509833
CNAG_04063,0.199234455,-1.49451791,-0.327753185,-1.005057716,-0.852596195
CNAG_04070,1.05052252,-0.33541591,-0.030187839,0.469540856,0.076430726
CNAG_04076,0.217672023,-0.154052582,0.573888489,0.694077889,-0.398894991
CNAG_04097,-0.769662998,0.161559689,-0.444472919,0.831456937,-0.234192602
CNAG_04113,-2.613830702,-0.515873268,-1.570374619,-1.958997894,-1.987251763
CNAG_04129,0.896764299,0.551067228,1.336017253,-0.150199152,0.454891928
CNAG_04131,2.55863716,1.943762003,1.499783746,2.401568224,-0.068513013
CNAG_04133,-0.341595364,-0.457833147,0.067363329,-1.11797264,0.645635832
CNAG_04164,0.207143629,-0.275565944,0.450884156,-0.975541932,0.155711436
CNAG_04166,2.600622996,3.759203011,3.164271068,3.40751833,3.84990858
CNAG_04170,0.982899908,0.811764776,0.627100883,0.482075513,1.847330831
CNAG_04175,1.291590671,0.232981574,0.795587208,0.902302347,1.052642123
CNAG_04176,0.585269994,-0.434003054,-0.487965691,1.322980386,1.464866655
CNAG_04233,-4.081708881,-6.362338542,-4.255169586,-7.645513348,-4.938363765
CNAG_04252,-0.316736679,0.041378736,-0.368620387,-0.758209271,-0.287050514
CNAG_04265,0.514754947,-0.085880374,-0.518438167,0.197967588,0.113297625
CNAG_04289,-2.243360229,-3.847178292,-4.224220351,-3.532182047,-3.32672413
CNAG_04295,0.516616487,0.823741719,0.768863444,0.395122668,0.929643579
CNAG_04296,-1.227905666,-0.880238058,-0.079743217,-1.098617912,0.978875623
CNAG_04329,0.133948211,0.513108501,0.077959059,-0.283495426,-0.641514805
CNAG_04331,0.05837929,0.431734745,0.77201884,1.269668443,1.386160038
CNAG_04337,-1.393872267,0.115883134,-0.084736375,-0.200957598,0.527864634
CNAG_04368,-0.755560169,-3.427809282,-0.772639533,-5.3477658,-0.963639731
CNAG_04377,-0.491465236,-1.109245321,-1.573115488,-2.518747064,-0.87257036
