Gene,Mouse1_Zadj,Mouse2_Zadj,Mouse3_Zadj,Mouse4_Zadj,Mouse5_Zadj
CNAG_00005,0.1656113,-0.853720469,0.856824494,0.625462139,0.803512285
CNAG_00009,-0.868491552,0.156739409,-1.72851767,-0.574198914,0.300477047
CNAG_00057,-0.949372812,-1.337342941,-2.013363968,-1.324587731,-1.076646943
CNAG_00066,-0.953691903,1.332969,-4.519109471,-5.966510593,-0.716282538
CNAG_00070,-0.100024774,-1.140040467,0.387644433,0.194778361,0.24812734
CNAG_00074,-0.159125671,0.195285246,-0.024480452,-0.783188954,-0.114610792
CNAG_00078,0.225740915,0.529067133,0.293117995,0.077959672,0.722389353
CNAG_00129,-2.451652201,-0.915046659,-1.844388692,-1.54399768,-2.305346246
CNAG_00156,-6.968864694,-4.117062444,-6.781332955,-4.467748277,-4.413330604
CNAG_00162,-0.409314657,-0.407835218,1.109911441,-0.704109141,0.35082266
CNAG_00165,1.277944812,0.619280999,0.597973661,0.733932269,-0.535677842
CNAG_00188,-1.835735726,-0.899189415,-0.913961209,-1.325634365,-0.292737999
CNAG_00189,1.482625943,0.911262244,0.333960213,0.551950453,0.33675111
CNAG_00235,-0.40122246,1.639525056,1.141790853,-0.369093275,2.142358261
CNAG_00236,-6.299609736,-5.436556258,-4.830366015,-3.414289366,-1.315223794
CNAG_00260,1.955054083,0.614605277,1.490307001,0.844013159,0.762065342
CNAG_00261,1.266609397,-0.037791539,1.25953749,0.210998597,0.812304237
CNAG_00264,0.762638119,0.769523455,-1.272108177,0.876140293,0.520064847
CNAG_00275,-1.059452848,0.962403365,0.807526081,1.028048258,1.32559346
CNAG_00276,1.373828514,0.38090012,0.708243359,-1.041091146,-0.406832362
CNAG_00302,0.88339814,1.450336836,0.14099891,-0.4622154,-0.822994428
CNAG_00306,-0.702393002,-1.329073617,-2.277005942,-1.894356388,-1.71124389
CNAG_00331,-0.720604922,0.350407997,-0.451971912,-0.424235277,-0.369230724
