Gene,Mouse1_Zadj,Mouse2_Zadj,Mouse3_Zadj,Mouse4_Zadj,Mouse5_Zadj
CNAG_00015,-0.632815549,0.018347593,0.703452788,-0.080715918,-0.365329131
CNAG_00031,0.174329112,1.002835348,0.591469296,0.384198161,-0.277119845
CNAG_00051,-4.527324708,-4.651789858,-4.285277099,-4.301168227,-2.803156789
CNAG_00052,0.355109733,0.295393627,0.506117619,-0.34816318,0.239000171
CNAG_00079,0.808462596,0.008990987,0.820104615,0.520495658,1.126975798
CNAG_00091,0.113366358,0.023067924,0.188296852,-0.303485226,-0.350326272
CNAG_00107,-0.349340406,0.089465312,-0.902156442,-0.326635178,0.774392491
CNAG_00126,-0.990056345,-0.001798273,-2.464797955,-2.110375345,-0.496137782
CNAG_00137,-5.77961166,-5.499596441,-5.802840117,-6.058676069,-3.2590813
CNAG_00139,0.038247173,-2.517272823,-1.027053538,0.626522793,1.299130771
CNAG_00141,0.623607108,0.8832939,-0.047870469,1.79926466,0.631140649
CNAG_00164,-0.164341827,-1.103615131,0.082302062,0.376126893,-0.273368213
CNAG_00179,-0.532037546,0.534425002,0.129588437,0.964348917,-0.031965103
CNAG_00183,-4.44910372,-2.826936659,-2.199579233,-2.232864042,-2.705405542
CNAG_00191,0.190715488,-0.342143061,0.692874684,0.355906366,-0.896565781
CNAG_00192,0.978106062,0.413593481,1.312452823,0.771110303,1.07500988
CNAG_00193,1.240780989,2.02908509,0.952617817,1.207799656,-0.634015636
CNAG_00247,-0.883439501,-1.602119426,-0.99278548,-0.58112702,0.896174716
CNAG_00269,0.948090435,-0.542425062,-0.47671947,-0.386360404,0.003078146
CNAG_00301,0.008345424,0.197371021,0.278989448,0.41441371,0.748025867
CNAG_00363,0.645974904,1.924844697,-0.826258342,1.51393513,-0.026799803
CNAG_00374,0.882571199,0.831077698,-0.025942856,0.74186303,0.955428216
CNAG_00393,0.771835422,0.616554749,1.34140404,0.321747427,1.81506331
CNAG_00445,-2.31666628,-2.225941664,-1.616714582,-2.245157401,-0.44603034
CNAG_00456,-0.239810915,-0.083960161,-0.402478172,-0.669766499,0.002009702
CNAG_00461,-6.229860905,-4.540064281,-8.017652972,-5.345674377,-3.063087597
CNAG_00462,0.346375641,-0.22420182,-0.737194639,0.639315803,-0.210074994
CNAG_00474,-0.259714849,1.058673862,0.698265131,-0.399036009,-0.315053495
CNAG_00503,0.36351366,-0.308505037,0.915665316,0.261915857,0.738681792
CNAG_00531,-6.384165345,-4.998186495,-6.316269694,-5.501811761,-2.879771743
CNAG_00546,-4.833715714,-4.119059072,-5.026384328,-5.256138491,-2.817503033
CNAG_00559,0.123762183,-1.311737386,-1.640995731,-0.181676691,-1.449025597
CNAG_00564,-1.380578756,-1.975370826,-0.468557985,-0.236668503,-0.768931341
CNAG_00581,-0.547741061,-0.970185717,-1.228548216,-0.179506433,-0.832454291
CNAG_00598,0.813712244,0.6590687,-0.254229923,-0.155028969,0.298017629
CNAG_00627,0.193079476,-0.075754112,-0.840518358,0.066405833,0.457488768
CNAG_00654,1.45584304,1.151475426,0.647723691,1.098271063,0.476250917
CNAG_00674,3.074294503,1.614185037,1.733074422,2.390726558,1.167930464
CNAG_00675,0.57091584,-0.199111542,-0.286808557,-0.147439707,0.792994351
CNAG_00676,-5.193403277,-4.982208923,-6.99096401,-7.272352354,-2.879364686
CNAG_00699,-0.444728558,0.778177725,0.889416791,0.378393292,1.197471144
CNAG_00702,-2.098185462,-4.586672562,-3.474440251,-4.049664611,-1.782095353
CNAG_00710,-0.185707636,0.97855886,-0.579451653,0.201585319,0.314477166
CNAG_00717,-0.139390228,0.076962736,0.322095147,0.275893601,-0.624763726
CNAG_00732,-3.11034714,-3.730030708,-2.507863982,-3.03463865,-1.387442607
CNAG_00733,-0.254261603,1.126094853,-0.369734528,0.077779183,0.067930875
CNAG_00791,-6.22619613,-4.717351847,-4.96803277,-5.196188688,-2.618130411
CNAG_00828,-0.440118709,0.062350943,1.318350565,0.651022062,0.408199017
CNAG_00830,0.484860082,0.126012796,0.744498192,-0.161977831,0.460044565
CNAG_00841,0.303019797,1.053726802,0.870068197,-0.086970256,-0.519359188
CNAG_00871,0.16281118,-0.448402194,1.117818809,0.893826774,-0.164353849
CNAG_00883,1.883689915,0.75245819,0.476739697,0.379270854,0.667892507
CNAG_00896,-0.529255356,-0.381459713,0.839668027,-0.5164343,0.587677459
CNAG_00897,-5.509985302,-6.693194441,-6.953906266,-5.3181397,-3.53822431
CNAG_00919,0.502913422,-0.00214147,-0.249100848,0.572879754,1.180069352
CNAG_00998,-3.178505178,-1.241351558,-3.45645086,-3.366005008,-3.372161391
