Gene,Mouse1_Zadj,Mouse2_Zadj,Mouse3_Zadj,Mouse4_Zadj,Mouse5_Zadj
CNAG_01283,0.126517548,0.068041358,-0.540912696,-0.721823726,-0.592741096
CNAG_01421,0.785832036,0.24674658,1.437369767,0.698526474,0.45226825
CNAG_01588,0.98230549,1.509625329,0.355353268,0.669169234,0.972439438
CNAG_01601,-2.677423923,-3.196100899,-4.880040121,0.031348812,-4.66729751
CNAG_01602,0.062727781,0.132506943,-0.17712145,-0.339666197,0.233333143
CNAG_01773,-4.555527149,-8.551292214,-7.566362331,-5.188362529,-5.603228581
CNAG_01860,0.818861553,-0.472793374,1.693414057,0.46736644,-0.305009933
CNAG_01994,0.320692934,0.019729699,0.92453457,-0.380615851,0.223923435
CNAG_02048,-1.340306788,1.087202407,-0.906649313,0.582509216,0.788925388
CNAG_02264,1.33861254,0.893337476,-1.215482807,0.391955194,-0.461240865
CNAG_02552,0.622409865,0.26021856,0.408847998,-1.17244992,1.431013704
CNAG_02965,0.87184954,0.751156809,0.539109595,0.07005164,0.488672104
CNAG_03116,-2.311682779,-4.286173837,-2.962590657,-1.402094778,-3.444607992
CNAG_03117,1.093717373,1.075687941,1.312250234,0.395593819,0.227411495
CNAG_03145,0.565558801,0.999256468,0.852563458,-0.766346159,-0.544807658
CNAG_03248,-0.414286113,0.670509355,-0.558243651,-0.201858137,0.855927619
CNAG_03426,1.007628166,2.230121776,0.417834286,1.675535471,1.559652343
CNAG_03479,2.007485472,2.615039513,3.781311063,1.732767957,4.057628293
CNAG_03487,-0.756826751,-1.35882243,-1.038411792,-1.03156002,-0.741643068
CNAG_03498,0.488338336,0.434130445,0.407763782,1.114081363,0.536735501
CNAG_03770,0.364442718,0.014647928,0.257020415,0.582294837,-0.459538571
CNAG_03771,1.076345077,0.427371083,1.436043625,0.67325841,-0.491575623
CNAG_03775,-2.171469838,-2.230415486,-1.80401525,-0.063437331,-0.767026367
CNAG_03776,0.578717638,-0.171533479,1.426233597,-1.322588429,0.136382792
CNAG_03784,-0.336265105,-0.267143764,-0.428189208,-0.156793446,0.693454113
CNAG_03785,0.725568137,-0.072637729,-0.405027778,-0.195862692,-0.434782553
CNAG_03794,0.373362771,0.627349681,0.483822766,0.873822273,-0.7390312
CNAG_03795,-0.241770725,0.181662974,-0.118833593,-0.83419211,0.023229255
CNAG_03808,-0.559377524,-0.113299208,-0.419318531,-0.26380022,0.018976953
CNAG_03821,-2.404225577,-3.854050732,-3.880608932,-3.041914846,-3.239441606
CNAG_03825,0.009627055,0.749881342,-0.002585001,0.086577399,0.189599028
CNAG_03831,0.579093957,0.330958442,0.577953479,1.145047229,0.113501005
CNAG_03832,-4.857662527,-5.3866359,-4.013543743,-4.423574328,-5.761385521
CNAG_03833,0.042972218,-0.326614928,-0.779323573,1.13846506,-0.025284913
CNAG_03834,-3.208082074,-6.665535396,-6.738234968,-4.101355189,-5.698579739
CNAG_03836,0.800051241,-0.359417474,0.355200081,0.842632715,0.563629843
CNAG_03842,0.082387826,1.097394046,-0.346704001,0.832731691,1.253057549
CNAG_03845,0.064111149,0.915073986,0.744872639,0.355573659,0.629766812
CNAG_03846,0.413038416,0.896575247,-0.223934917,-0.159985473,-0.338210647
CNAG_03852,0.190106205,0.320993606,-0.040966794,0.049120733,-0.001614959
CNAG_03862,-4.986876948,-6.976673664,-4.788431752,-5.120783382,-5.082049189
CNAG_03863,-4.054947128,-5.305773226,-6.85519484,-6.083927809,-5.895259215
