Gene,Mouse1_Zadj,Mouse2_Zadj,Mouse3_Zadj,Mouse4_Zadj,Mouse5_Zadj
CNAG_00013,-0.268196764,-0.168387572,0.030400552,0.921468494,0.591509795
CNAG_00048,0.644327812,0.416502478,0.812242113,0.521914056,-0.771818401
CNAG_00049,0.569056289,0.66834732,0.237416473,-0.209393489,0.953097548
CNAG_00064,1.069835352,-1.117453539,0.708729324,0.243175621,0.655719012
CNAG_00083,-0.05810578,-2.666554531,-0.253083673,-1.686591356,-1.545467893
CNAG_00149,0.347648616,1.088073163,0.780547104,1.255130048,0.108234639
CNAG_00150,-0.521789122,-0.748504132,-1.362362797,-0.7686432,-1.308585255
CNAG_00154,0.344384765,0.687777658,0.940072708,0.834628493,-0.166915885
CNAG_00176,0.807473754,1.0274068,0.337299369,1.494965074,0.623010329
CNAG_00177,-0.131654116,1.209180427,-0.029863334,-0.490224302,0.778486115
CNAG_00181,-4.092593234,-2.944792163,-4.875123772,-6.219406987,-1.799316088
CNAG_00240,-4.56006551,-3.262539122,-3.593199447,-5.123973397,-4.225947898
CNAG_00241,-0.810743022,0.829674978,0.240709146,0.994776542,-1.224102754
CNAG_00278,-0.1331962,0.726288179,0.54535688,-0.803645293,0.290816029
CNAG_00279,0.386340305,0.287469534,-0.444245498,-0.236274089,0.151391355
CNAG_00280,1.3749252,-0.760395229,-0.229798693,1.182796023,0.876294697
CNAG_00287,0.124722705,-0.450131546,0.518958623,0.017570212,0.221426951
CNAG_00349,-0.187471878,0.396365873,-0.323211859,0.41533727,-0.248206702
CNAG_00354,0.741804014,0.034646028,-2.144601272,1.687568173,-0.705220451
CNAG_00355,1.56998616,0.359780517,1.025795513,1.062219231,-0.474786742
CNAG_00361,-5.038003414,-3.229732513,-6.27369467,-6.379338593,-6.056103385
CNAG_00369,2.209927546,1.397399979,1.911500286,0.937033141,1.082918561
CNAG_00384,0.085974711,-0.013670741,-1.062511241,-0.424461581,0.195179487
CNAG_00404,-1.951345584,-1.641426802,-1.859261496,-2.263698864,-0.466844662
CNAG_00415,-4.319377086,-2.681074931,-4.759364963,-3.9986301,-4.603985726
CNAG_00443,0.739715331,0.031293068,0.247509503,0.021221106,0.115176835
CNAG_00444,-0.128806458,-0.431356829,0.577483592,0.439810948,0.603804693
CNAG_00460,-2.496091844,-0.22599805,-1.690259642,-2.501646754,-0.923332343
CNAG_00495,0.433446184,0.470125996,-0.334676939,-0.809146056,-0.781465198
CNAG_00501,0.519418646,-0.233469056,0.571251797,0.402492647,-0.527108651
CNAG_00502,-2.121701755,-1.281043269,-2.00190711,-3.812684363,-0.633026372
CNAG_00537,-0.095606825,0.111035041,-1.025114423,0.326315625,0.234405815
CNAG_00544,0.191734423,0.101570539,0.496883671,0.831741883,0.276386342
CNAG_00568,-0.172780769,0.428715397,0.239521829,0.084001049,0.091957482
CNAG_00584,-0.673377397,-0.761418366,-2.41844924,-1.837999593,-1.467832165
