Gene,Mouse1_Zadj,Mouse2_Zadj,Mouse3_Zadj,Mouse4_Zadj,Mouse5_Zadj
CNAG_02039,0.073694765,-0.531604891,0.420021515,-0.364850493,-0.048259203
CNAG_02050,0.300734218,0.716015799,0.537699612,0.355286105,-0.107191825
CNAG_02051,0.237821955,-0.406452347,0.589312269,0.507807479,0.575676475
CNAG_02052,-1.781088401,-2.634331328,-3.542377335,-6.423807731,-2.614100352
CNAG_02056,-0.11914453,1.169780115,0.009205548,-0.840345637,0.429507875
CNAG_02057,0.207426561,-1.585048498,-0.767871394,-0.057947729,-0.378138105
CNAG_02058,1.049051188,0.99372375,0.143461407,-0.885121751,1.0561204
CNAG_02059,-0.183732111,-0.282888408,0.693571233,-0.046940706,-0.321771929
CNAG_02061,0.034909483,0.685832149,-0.310154593,-0.064268628,0.60258477
CNAG_02062,0.474790646,0.004859562,-0.201790876,-1.853272209,-0.215239759
CNAG_02067,-0.881089918,0.553482115,-0.301193241,-1.807320883,-1.517439198
CNAG_02069,0.932629301,-0.137986577,0.299068462,-1.271629222,0.260967894
CNAG_02073,-0.094805237,-0.541898963,-0.355345755,0.299446549,0.91528726
CNAG_02092,-2.595988152,-7.704614509,-2.609724284,-6.838601931,-4.031653321
CNAG_02096,0.838989258,-0.264961325,1.076074489,-0.595380705,-0.234429569
CNAG_02097,-0.367585155,-1.1571259,-0.146380722,-0.246543936,-0.431843418
CNAG_02105,1.276806927,0.684266965,0.073008536,0.857821552,-0.626299928
CNAG_02108,-2.70477376,-4.662985383,-2.731635032,-7.8658615,-3.678300415
CNAG_02109,-1.27558401,-0.14608552,-1.602231422,-1.503493766,-3.049303636
CNAG_02112,0.708352158,0.801131595,0.7283135,1.4500347,-0.285977617
CNAG_02114,0.761171345,0.658572489,-0.215052006,0.196382967,-0.666176972
CNAG_02116,-0.308131758,-0.330569579,-1.711028057,0.670095389,-0.160559855
CNAG_02117,-1.415085733,0.720470173,-0.432252497,-0.740461567,0.441279499
CNAG_02120,0.951533204,0.215400325,1.006668969,-1.18222053,0.971822045
CNAG_02126,0.896169044,-0.152106616,0.709772469,0.198554783,-0.82117874
CNAG_02127,-0.668303468,1.351208532,1.291392738,1.674596711,1.00830211
CNAG_02137,0.959497747,1.372273513,-0.62788175,0.448388245,0.215819013
CNAG_02140,0.822799285,1.057025004,0.695393898,0.853014496,0.869840288
CNAG_02146,-0.053981574,-1.249486059,0.464415514,0.190655114,-0.674776999
CNAG_02149,-0.43649626,-0.143577937,0.187738169,0.749515354,-2.087967767
CNAG_02150,0.67990196,-0.213275645,-0.159845203,-0.782271118,0.956276966
CNAG_02156,-1.389835797,-1.066900808,0.038906534,0.199220473,-2.241134149
CNAG_02160,0.169072892,0.993877757,0.531951133,0.561246115,0.395223611
CNAG_02161,0.067921019,-0.220386371,0.214449233,-0.433291485,0.581906077
CNAG_02163,1.010355092,1.391094262,0.593316066,1.252123341,0.189848803
CNAG_02169,-0.709411477,-0.75820806,0.294694909,0.839773762,0.330942696
CNAG_02170,1.541446704,0.653075998,1.029756232,0.857372739,0.168897186
CNAG_02171,0.867925721,0.731885509,0.506537277,1.367589252,0.860556031
CNAG_02184,-0.27986706,-0.128341551,0.412756404,0.657414157,1.178942491
CNAG_02185,1.120657558,-0.544903814,1.159348634,0.449335317,0.367492239
CNAG_02186,-3.416168587,1.211984773,0.348416007,-0.30742856,0.348553473
CNAG_02187,-1.136757649,0.276592254,-1.509623859,0.939075088,-0.288430004
CNAG_02192,0.642450742,0.241926889,-0.308436628,0.642274356,0.885251149
CNAG_02196,-1.979632183,-4.323889795,-3.403251711,-6.12592348,-2.772152264
CNAG_02205,-0.374689538,0.492383815,-0.734745417,0.883658897,-1.908356726
CNAG_02207,-0.164682523,0.568969465,0.521667971,-1.098885471,0.929238575
CNAG_02210,0.413066901,-0.823539137,0.758926902,-0.158337302,0.612920306
CNAG_02211,0.00617864,-0.419471112,0.731991282,-0.837040057,-1.090136474
CNAG_02227,0.466525693,-0.909501634,0.773777949,-0.347059778,-0.36949338
CNAG_02228,0.149066735,0.313080705,-0.687831742,-0.807007892,-0.01927444
CNAG_02232,-2.037397396,-4.873807703,-2.455958687,-4.09765819,-4.398270857
CNAG_02235,-0.468271165,1.300527168,0.350791274,0.150663274,0.61160855
CNAG_02238,-0.798554829,-0.71784416,0.098742321,-0.89826259,-1.168002121
CNAG_02258,1.23263257,-2.493498739,-0.48556829,-0.57791087,0.428124236
CNAG_02259,0.209600508,-0.055086424,-1.074303879,-0.485023972,-1.96178203
CNAG_02260,-0.683465298,-0.733686416,0.572112557,0.513102836,-2.000221378
CNAG_02261,-0.832256844,-2.142094359,-0.24848732,-2.333375674,-0.823418635
CNAG_02269,-0.969333977,-1.185993736,-0.006057906,-0.171549798,-0.12748978
CNAG_02281,-0.08236519,-0.948459758,-1.235990606,-0.093543261,-1.418377738
CNAG_02283,0.551580254,-0.594554563,-0.925254521,1.727815238,0.548257054
CNAG_02286,0.283562643,0.196272166,1.208250583,0.553515756,0.826834916
CNAG_02287,0.922998002,0.010938056,0.588566941,0.522375733,0.214782516
CNAG_02289,-1.937073832,0.345256289,0.015680775,1.111940905,-0.091607714
CNAG_02290,-1.672726913,-5.916530241,-3.05931788,-5.389520873,-3.782530405
CNAG_02295,0.859466057,-1.897513625,-0.174254079,-1.48101177,0.300100921
CNAG_02296,0.412892561,-0.148498855,0.741536525,-0.279587074,1.389347394
CNAG_02300,0.458613146,-0.139266837,0.244376352,0.065873537,0.912419285
CNAG_02302,-0.082258307,-0.18269853,0.77889315,0.513651906,-0.707622815
CNAG_02308,1.117481494,-0.441086443,0.611529195,0.529405221,0.63437129
CNAG_02309,0.001939046,-0.163749678,-0.556725749,-0.635273213,0.686027444
CNAG_02310,-1.623247475,-1.222760507,-1.991840984,-1.232532246,-0.541994124
CNAG_02311,-0.363265042,-1.522516694,-0.757130599,-0.529575106,0.024317773
CNAG_02312,0.889707497,0.172492741,1.308783292,0.289548813,1.712654043
CNAG_02313,-2.743839594,-6.241977541,-3.247634151,-5.79272806,-2.258645481
CNAG_02314,0.204275357,0.36127789,1.149645097,-0.036228589,0.213236101
CNAG_02318,0.850664984,0.348235086,0.472172236,0.531356931,0.205139999
CNAG_02324,0.819555866,0.860560424,0.539267547,0.15190202,0.977279954
CNAG_02327,0.983664408,-0.164565897,-0.050667468,0.338559458,0.343290109
CNAG_02336,-1.273840014,0.457466086,0.333569097,-0.261571734,1.230172271
CNAG_02337,-0.853344843,0.842236441,0.877390486,-0.206945577,-0.445233921
CNAG_02339,0.712465162,1.18404853,0.044846652,-0.022368034,-0.079849258
CNAG_02340,0.232696532,1.030864598,-0.095369108,0.780543275,-0.12238231
CNAG_02341,-1.512595106,-1.322853422,-0.711315656,-4.533766157,-1.595716042
CNAG_02342,1.1805917,0.105847604,-0.933524329,-0.244965375,0.695980869
CNAG_02343,-0.222335325,0.555009041,0.280530679,0.21073282,-0.483173048
CNAG_02344,-0.070384171,1.139976853,0.061607448,-1.522192482,0.51864949
CNAG_02345,0.984987491,1.181784942,0.071086478,-1.362212063,0.086201823
CNAG_02355,0.810441597,0.135400306,-0.004383901,0.091594613,-0.294486093
CNAG_02362,0.221332339,0.286435919,-0.258409205,-0.011641547,0.398436221
CNAG_02363,0.950984795,-0.947760719,0.469481165,-0.795619062,-1.104962362
CNAG_02375,0.01926281,-0.113456934,0.788485211,2.504752127,0.955519981
CNAG_02376,-0.889636447,-1.42288552,-2.225414619,-8.079610113,-4.223425822
CNAG_02384,0.619928546,0.295339216,0.24511577,-0.142803889,0.341710727
CNAG_02397,0.317459028,-0.714227164,-0.31781266,-0.072183543,0.59332178
CNAG_02402,-2.247743242,-3.777852287,-1.990382661,-8.861891455,-4.232535775
CNAG_02404,0.595305777,-0.552631138,-0.535188695,0.954232077,-0.28772538
CNAG_02407,0.739022822,0.31853478,0.266656306,0.650463451,0.125749404
CNAG_02408,1.078804604,1.29396792,1.018990151,2.03202137,1.528780271
CNAG_02416,-1.385262656,-0.973686472,-0.414350662,-0.455522909,-0.955535432
CNAG_02417,1.133606587,0.20774072,0.215598245,0.896651514,-0.296980338
CNAG_02419,-1.63489504,-3.598277804,-2.283913307,-4.162913235,-3.979410846
CNAG_02420,0.299272676,0.541090895,0.298274871,1.475778385,0.857940363
CNAG_02425,-0.583053196,-1.801005182,-0.147211259,-1.089827691,-2.889985716
CNAG_02431,0.314990788,-0.32103852,0.701647693,0.857281795,0.394501257
CNAG_02432,0.743052874,0.266188376,-1.276356942,-1.538730506,0.187852736
CNAG_02436,-1.880812622,-5.186781523,-1.499869681,-5.340560182,-3.740794646
CNAG_02438,0.1693495,0.204053984,1.267755423,0.692985843,0.618723913
CNAG_02439,-0.675229793,0.530289452,0.273896599,0.45895886,-0.70821191
